                  model  engine  nrGPUs_a100  batchSize_a100  throughput_a100  throughput_tesla       errors_l_a100      errors_l_tesla  Improvement
26936  Codellama-13b-hf  autohf            2               1         9.698531          7.013066                  ok                  ok    38.292306
14039     Starcoder2-7b  autohf            8              64        17.654870         12.678865                  ok                  ok    39.246463
1215    Wizardcoder-15b  autohf            4              32         6.594290          4.731132                  ok                  ok    39.380811
45395           Phi-1_5  autohf            1               2        54.275751         38.920034                  ok                  ok    39.454531
9402      Starcoder2-3b  autohf            4               1        29.050519         20.772441                  ok                  ok    39.851255
13544     Starcoder2-7b  autohf            4              64        17.890262         12.732845                  ok                  ok    40.504824
6644      Starcoder-15b  autohf            8               8        30.434602         21.515075                  ok                  ok    41.457103
53274     Codestral-22b  autohf            1              16         2.203251          1.550190  CUDA out of memory  CUDA out of memory    42.127796
46610           Phi-1_5  autohf            4              64        91.139521         63.970657  CUDA out of memory  CUDA out of memory    42.470823
6509      Starcoder-15b  autohf            8               1        16.636417         11.613228                  ok                  ok    43.254019
54849     Codestral-22b  autohf            8              64         6.265420          4.337735                  ok                  ok    44.439877
14084     Starcoder2-7b  autohf            8             128        15.276332         10.548518                  ok                  ok    44.819699
13589     Starcoder2-7b  autohf            4             128        15.412931         10.600860                  ok                  ok    45.393207
53229     Codestral-22b  autohf            1               8         1.308086          0.897199                  ok                  ok    45.796616
45845           Phi-1_5  autohf            2               1        36.212338         24.622249                  ok                  ok    47.071612
9042      Starcoder2-3b  autohf            2               8       149.478917        101.104099                  ok                  ok    47.846544
8997      Starcoder2-3b  autohf            2               4        91.961029         61.513798                  ok                  ok    49.496588
135     Wizardcoder-15b  autohf            1               8         1.537795          1.025743                  ok                  ok    49.920091
6059      Starcoder-15b  autohf            4               2        23.364816         15.357421                  ok                  ok    52.140231
8952      Starcoder2-3b  autohf            2               2        56.472776         36.955939                  ok                  ok    52.811099
6104      Starcoder-15b  autohf            4               4        29.649298         19.242889                  ok                  ok    54.079246
1755    Wizardcoder-15b  autohf            8              64         6.189354          4.014556                  ok                  ok    54.172802
8412      Starcoder2-3b  autohf            1               1        44.799030         28.972835                  ok                  ok    54.624257
53094     Codestral-22b  autohf            1               1         0.171607          0.110509                  ok                  ok    55.287456
0       Wizardcoder-15b  autohf            1               1         0.347988          0.220719                  ok                  ok    57.660815
53184     Codestral-22b  autohf            1               4         0.726809          0.458258                  ok                  ok    58.602642
53139     Codestral-22b  autohf            1               2         0.397589          0.248307                  ok                  ok    60.119921
45      Wizardcoder-15b  autohf            1               2         0.536535          0.334842                  ok                  ok    60.235163
90      Wizardcoder-15b  autohf            1               4         0.925005          0.577069                  ok                  ok    60.293711
10122     Starcoder2-3b  autohf            8              32       203.445633        126.173091                  ok                  ok    61.243281
8457      Starcoder2-3b  autohf            1               2        79.718188         49.295521                  ok                  ok    61.714872
40600          Gemma-7b  autohf            1               4         5.448322          3.299466                  ok  CUDA out of memory    65.127384
9582      Starcoder2-3b  autohf            4              16       204.339049        123.030113                  ok                  ok    66.088646
3388    Wizardcoder-33b  autohf            1               1         0.099672          0.059156                  ok                  ok    68.488998
5564      Starcoder-15b  autohf            2               2        26.720808         15.770232                  ok                  ok    69.438263
8547      Starcoder2-3b  autohf            1               8       191.476412        110.875219                  ok                  ok    72.695409
40554          Gemma-7b  autohf            1               1         2.068618          1.191674                  ok                  ok    73.589212
6014      Starcoder-15b  autohf            4               1        19.911723         11.439697                  ok                  ok    74.058141
5519      Starcoder-15b  autohf            2               1        21.417755         12.188619                  ok                  ok    75.719294
40577          Gemma-7b  autohf            1               2         3.631555          2.040329                  ok                  ok    77.988733
8502      Starcoder2-3b  autohf            1               4       130.114869         72.523082                  ok                  ok    79.411663
6149      Starcoder-15b  autohf            4               8        39.388974         21.856728                  ok                  ok    80.214411
5609      Starcoder-15b  autohf            2               4        35.673259         19.611274                  ok                  ok    81.901792
9087      Starcoder2-3b  autohf            2              16       241.765678        128.139525                  ok                  ok    88.673774
9627      Starcoder2-3b  autohf            4              32       247.920310        129.559353                  ok                  ok    91.356551
6689      Starcoder-15b  autohf            8              16        41.668882         21.727488                  ok                  ok    91.779570
26531  Codellama-13b-hf  autohf            1               4         2.338098          1.217752                  ok  CUDA out of memory    92.001210
10167     Starcoder2-3b  autohf            8              64       228.978029        118.771713                  ok                  ok    92.788353
10257     Starcoder2-3b  autohf            8             256       218.970689        111.898349  CUDA out of memory  CUDA out of memory    95.687149
26486  Codellama-13b-hf  autohf            1               2         1.289128          0.649235                  ok                  ok    98.561162
5654      Starcoder-15b  autohf            2               8        43.824666         21.986945                  ok                  ok    99.321307
9132      Starcoder2-3b  autohf            2              32       262.586936        130.403820                  ok                  ok   101.364451
33562  Codellama-70b-hf  autohf            8              16         2.850483          1.411233                  ok                  ok   101.985298
8592      Starcoder2-3b  autohf            1              16       262.800744        128.957986                  ok                  ok   103.787878
33263  Codellama-70b-hf  autohf            4               4         0.385787          0.186822  CUDA out of memory                  ok   106.499379
26441  Codellama-13b-hf  autohf            1               1         0.701012          0.337300                  ok                  ok   107.830636
9672      Starcoder2-3b  autohf            4              64       253.587351        120.872014                  ok                  ok   109.798233
8637      Starcoder2-3b  autohf            1              32       282.427148        134.501459                  ok                  ok   109.980732
9177      Starcoder2-3b  autohf            2              64       259.242360        123.138034                  ok                  ok   110.529885
33240  Codellama-70b-hf  autohf            4               2         0.204748          0.097181                  ok                  ok   110.687465
8682      Starcoder2-3b  autohf            1              64       264.369851        124.690443                  ok                  ok   112.020941
6194      Starcoder-15b  autohf            4              16        48.493619         21.682312                  ok                  ok   123.655207
10212     Starcoder2-3b  autohf            8             128       222.810768         98.949854                  ok                  ok   125.175439
5699      Starcoder-15b  autohf            2              16        50.213091         22.136776                  ok                  ok   126.831096
33217  Codellama-70b-hf  autohf            4               1         0.100732          0.043786                  ok                  ok   130.051782
8727      Starcoder2-3b  autohf            1             128       250.551856        106.148893                  ok                  ok   136.038123
9717      Starcoder2-3b  autohf            4             128       238.621020        100.909180                  ok                  ok   136.471073
9222      Starcoder2-3b  autohf            2             128       248.162281        103.989475                  ok                  ok   138.641728
6734      Starcoder-15b  autohf            8              32        42.991515         17.817904                  ok                  ok   141.282681
9762      Starcoder2-3b  autohf            4             256       278.266058        115.155582  CUDA out of memory  CUDA out of memory   141.643570
5744      Starcoder-15b  autohf            2              32        47.885715         18.601380                  ok                  ok   157.430976
6239      Starcoder-15b  autohf            4              32        46.463169         17.996656                  ok                  ok   158.176673
33539  Codellama-70b-hf  autohf            8               8         2.971218          1.076382                  ok                  ok   176.037425
53634     Codestral-22b  autohf            2               2         1.631593          0.554558                  ok  CUDA out of memory   194.215000
60584      Mixtral-8x7b  autohf            4              16         4.863390          1.644100  CUDA out of memory                  ok   195.808698
6869      Starcoder-15b  autohf            8             256        37.103574         12.323648  CUDA out of memory  CUDA out of memory   201.076227
5204      Starcoder-15b  autohf            1              16        55.112130         18.179194                  ok  CUDA out of memory   203.160474
5789      Starcoder-15b  autohf            2              64        46.212522         15.102219                  ok  CUDA out of memory   205.998221
6779      Starcoder-15b  autohf            8              64        42.957661         13.967886                  ok                  ok   207.545891
53589     Codestral-22b  autohf            2               1         0.830832          0.269382                  ok                  ok   208.421592
60404      Mixtral-8x7b  autohf            4               1         0.718812          0.230167                  ok                  ok   212.299706
60539      Mixtral-8x7b  autohf            4               8         3.163302          1.012129                  ok                  ok   212.539521
6284      Starcoder-15b  autohf            4              64        44.877620         13.987424                  ok                  ok   220.842644
6824      Starcoder-15b  autohf            8             128        38.543764         11.907772                  ok                  ok   223.685768
6329      Starcoder-15b  autohf            4             128        39.282825         11.964204                  ok                  ok   228.336309
60494      Mixtral-8x7b  autohf            4               4         1.990124          0.601964                  ok                  ok   230.605385
60449      Mixtral-8x7b  autohf            4               2         1.292272          0.384971                  ok                  ok   235.680074
31832  Codellama-34b-hf  autohf            4               2         4.913768          1.459304                  ok  CUDA out of memory   236.719960
33516  Codellama-70b-hf  autohf            8               4         2.903294          0.663300                  ok                  ok   337.704736
5159      Starcoder-15b  autohf            1               8        52.719456         11.943667                  ok                  ok   341.400903
31787  Codellama-34b-hf  autohf            4               1         4.124852          0.828773                  ok                  ok   397.705696
5114      Starcoder-15b  autohf            1               4        46.549171          8.181978                  ok                  ok   468.923185
33493  Codellama-70b-hf  autohf            8               2         2.351241          0.395156                  ok                  ok   495.016162
5069      Starcoder-15b  autohf            1               2        37.974310          5.133172                  ok                  ok   639.782476
33470  Codellama-70b-hf  autohf            8               1         1.790159          0.210669                  ok                  ok   749.751349
5024      Starcoder-15b  autohf            1               1        30.682274          3.510445                  ok                  ok   774.028100
4067    Wizardcoder-33b  autohf            4               2         1.641683          0.148876                  ok                  ok  1002.717873
180     Wizardcoder-15b  autohf            1              16         2.594075               NaN  CUDA out of memory  CUDA out of memory          NaN
225     Wizardcoder-15b  autohf            1              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
270     Wizardcoder-15b  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
315     Wizardcoder-15b  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
360     Wizardcoder-15b  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
405     Wizardcoder-15b  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
450     Wizardcoder-15b  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
585     Wizardcoder-15b  autohf            2               4              NaN          6.328605  CUDA out of memory                  ok          NaN
630     Wizardcoder-15b  autohf            2               8              NaN          6.641586  CUDA out of memory  CUDA out of memory          NaN
675     Wizardcoder-15b  autohf            2              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
720     Wizardcoder-15b  autohf            2              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
765     Wizardcoder-15b  autohf            2              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
810     Wizardcoder-15b  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
855     Wizardcoder-15b  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
900     Wizardcoder-15b  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
945     Wizardcoder-15b  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1305    Wizardcoder-15b  autohf            4             128         6.139125               NaN  CUDA out of memory  CUDA out of memory          NaN
1350    Wizardcoder-15b  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1395    Wizardcoder-15b  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1440    Wizardcoder-15b  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1845    Wizardcoder-15b  autohf            8             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1890    Wizardcoder-15b  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
1935    Wizardcoder-15b  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3418    Wizardcoder-33b  autohf            1               2              NaN          0.114520  CUDA out of memory                  ok          NaN
3709    Wizardcoder-33b  autohf            2               1              NaN               NaN          CUDA error  CUDA out of memory          NaN
3739    Wizardcoder-33b  autohf            2               2              NaN          0.129792  CUDA out of memory                  ok          NaN
3769    Wizardcoder-33b  autohf            2               4              NaN          0.210122  CUDA out of memory                  ok          NaN
3799    Wizardcoder-33b  autohf            2               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3829    Wizardcoder-33b  autohf            2              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3859    Wizardcoder-33b  autohf            2              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3889    Wizardcoder-33b  autohf            2              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3919    Wizardcoder-33b  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
3949    Wizardcoder-33b  autohf            2             256              NaN               NaN  CUDA out of memory       killed-noInfo          NaN
4037    Wizardcoder-33b  autohf            4               1         1.632227               NaN                  ok  CUDA out of memory          NaN
4097    Wizardcoder-33b  autohf            4               4              NaN          0.232419  CUDA out of memory                  ok          NaN
4127    Wizardcoder-33b  autohf            4               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4157    Wizardcoder-33b  autohf            4              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4187    Wizardcoder-33b  autohf            4              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4217    Wizardcoder-33b  autohf            4              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4247    Wizardcoder-33b  autohf            4             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4277    Wizardcoder-33b  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4336    Wizardcoder-33b  autohf            8               1              NaN          0.250903  CUDA out of memory                  ok          NaN
4366    Wizardcoder-33b  autohf            8               2              NaN          0.232476  CUDA out of memory                  ok          NaN
4396    Wizardcoder-33b  autohf            8               4              NaN          0.222067  CUDA out of memory                  ok          NaN
4426    Wizardcoder-33b  autohf            8               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4456    Wizardcoder-33b  autohf            8              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4486    Wizardcoder-33b  autohf            8              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4516    Wizardcoder-33b  autohf            8              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4546    Wizardcoder-33b  autohf            8             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
4576    Wizardcoder-33b  autohf            8             256              NaN               NaN  CUDA out of memory       killed-noInfo          NaN
5249      Starcoder-15b  autohf            1              32        62.421300               NaN  CUDA out of memory  CUDA out of memory          NaN
5294      Starcoder-15b  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5339      Starcoder-15b  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5384      Starcoder-15b  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5429      Starcoder-15b  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5474      Starcoder-15b  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5834      Starcoder-15b  autohf            2             128        50.293656               NaN  CUDA out of memory  CUDA out of memory          NaN
5879      Starcoder-15b  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5924      Starcoder-15b  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
5969      Starcoder-15b  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
6374      Starcoder-15b  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
6419      Starcoder-15b  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
6464      Starcoder-15b  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
6914      Starcoder-15b  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
6959      Starcoder-15b  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
8772      Starcoder2-3b  autohf            1             256       280.348823               NaN  CUDA out of memory  CUDA out of memory          NaN
8817      Starcoder2-3b  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
8862      Starcoder2-3b  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
9267      Starcoder2-3b  autohf            2             256       276.375838               NaN  CUDA out of memory  CUDA out of memory          NaN
9312      Starcoder2-3b  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
9357      Starcoder2-3b  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
9807      Starcoder2-3b  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
9852      Starcoder2-3b  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
10302     Starcoder2-3b  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
10347     Starcoder2-3b  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
12554     Starcoder2-7b  autohf            1              64        21.964507               NaN  CUDA out of memory  CUDA out of memory          NaN
12599     Starcoder2-7b  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
12644     Starcoder2-7b  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
12689     Starcoder2-7b  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
12734     Starcoder2-7b  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
13139     Starcoder2-7b  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
13184     Starcoder2-7b  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
13229     Starcoder2-7b  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
13634     Starcoder2-7b  autohf            4             256        16.062939               NaN  CUDA out of memory  CUDA out of memory          NaN
13679     Starcoder2-7b  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
13724     Starcoder2-7b  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
14129     Starcoder2-7b  autohf            8             256        15.982258               NaN  CUDA out of memory  CUDA out of memory          NaN
14174     Starcoder2-7b  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
14219     Starcoder2-7b  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
15624         Bloom-1b7  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
15669         Bloom-1b7  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
15714         Bloom-1b7  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
15759         Bloom-1b7  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16119         Bloom-1b7  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16164         Bloom-1b7  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16209         Bloom-1b7  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16254         Bloom-1b7  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16614         Bloom-1b7  autohf            4             128        80.820563               NaN  CUDA out of memory  CUDA out of memory          NaN
16659         Bloom-1b7  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16704         Bloom-1b7  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
16749         Bloom-1b7  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
17109         Bloom-1b7  autohf            8             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
17154         Bloom-1b7  autohf            8             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
17199         Bloom-1b7  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
17244         Bloom-1b7  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
18967          Bloom-3b  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19012          Bloom-3b  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19057          Bloom-3b  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19102          Bloom-3b  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19147          Bloom-3b  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19507          Bloom-3b  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19552          Bloom-3b  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19597          Bloom-3b  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
19642          Bloom-3b  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20002          Bloom-3b  autohf            4             128        47.025283               NaN  CUDA out of memory  CUDA out of memory          NaN
20047          Bloom-3b  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20092          Bloom-3b  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20137          Bloom-3b  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20452          Bloom-3b  autohf            8              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20497          Bloom-3b  autohf            8             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20542          Bloom-3b  autohf            8             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20587          Bloom-3b  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
20632          Bloom-3b  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
22749         Bloom-7b1  autohf            1              16        28.932817               NaN  CUDA out of memory  CUDA out of memory          NaN
22794         Bloom-7b1  autohf            1              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
22839         Bloom-7b1  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
22884         Bloom-7b1  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
22929         Bloom-7b1  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
22974         Bloom-7b1  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23019         Bloom-7b1  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23334         Bloom-7b1  autohf            2              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23379         Bloom-7b1  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23424         Bloom-7b1  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23469         Bloom-7b1  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23514         Bloom-7b1  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23874         Bloom-7b1  autohf            4             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23919         Bloom-7b1  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
23964         Bloom-7b1  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
24009         Bloom-7b1  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
24369         Bloom-7b1  autohf            8             128        22.638338               NaN  CUDA out of memory  CUDA out of memory          NaN
24414         Bloom-7b1  autohf            8             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
24459         Bloom-7b1  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
24504         Bloom-7b1  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26576  Codellama-13b-hf  autohf            1               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26621  Codellama-13b-hf  autohf            1              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26666  Codellama-13b-hf  autohf            1              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26711  Codellama-13b-hf  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26756  Codellama-13b-hf  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26801  Codellama-13b-hf  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26846  Codellama-13b-hf  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
26891  Codellama-13b-hf  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27161  Codellama-13b-hf  autohf            2              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27206  Codellama-13b-hf  autohf            2              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27251  Codellama-13b-hf  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27296  Codellama-13b-hf  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27341  Codellama-13b-hf  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27386  Codellama-13b-hf  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27701  Codellama-13b-hf  autohf            4              64        11.789895               NaN  CUDA out of memory  CUDA out of memory          NaN
27746  Codellama-13b-hf  autohf            4             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27791  Codellama-13b-hf  autohf            4             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27836  Codellama-13b-hf  autohf            4             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
27881  Codellama-13b-hf  autohf            4            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
28286  Codellama-13b-hf  autohf            8             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
28331  Codellama-13b-hf  autohf            8             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
28376  Codellama-13b-hf  autohf            8            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30538  Codellama-34b-hf  autohf            1              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30583  Codellama-34b-hf  autohf            1              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30628  Codellama-34b-hf  autohf            1             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30673  Codellama-34b-hf  autohf            1             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30718  Codellama-34b-hf  autohf            1             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30763  Codellama-34b-hf  autohf            1            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30808  Codellama-34b-hf  autohf            2               1              NaN          0.105297  CUDA out of memory                  ok          NaN
30853  Codellama-34b-hf  autohf            2               2              NaN          0.205505  CUDA out of memory                  ok          NaN
30898  Codellama-34b-hf  autohf            2               4              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30943  Codellama-34b-hf  autohf            2               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
30988  Codellama-34b-hf  autohf            2              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31033  Codellama-34b-hf  autohf            2              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31078  Codellama-34b-hf  autohf            2              64              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31123  Codellama-34b-hf  autohf            2             128              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31168  Codellama-34b-hf  autohf            2             256              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31213  Codellama-34b-hf  autohf            2             512              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31258  Codellama-34b-hf  autohf            2            1028              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31292  Codellama-34b-hf  autohf            2               1              NaN          0.105297  CUDA out of memory                  ok          NaN
31337  Codellama-34b-hf  autohf            2               2              NaN          0.205505  CUDA out of memory                  ok          NaN
31382  Codellama-34b-hf  autohf            2               4              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31427  Codellama-34b-hf  autohf            2               8              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31472  Codellama-34b-hf  autohf            2              16              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
31517  Codellama-34b-hf  autohf            2              32              NaN               NaN  CUDA out of memory  CUDA out of memory          NaN
